A New Hope,May 25-1977
The Empire Strikes Back,May 21-1980
Return of the Jedi,May 25-1983
The Phantom Menace,May 19-1999
Attack of the Clones,May 16-2002
Revenge of the Sith,May 19-2005
The Force Awakens,December 18-2015
The Last Jedi,December 15-2017
The Rise of Skywalker,December 20-2019
The Clone Wars,August 15-2008
Rogue One,December 16-2016
Solo,May 25-2018
